especificacao;Valor_Corrente_2024;Valor_Constante_2024;perc_pib_2024;perc_rcl_2024;Valor_Corrente_2025;Valor_Constante_2025;perc_pib_2025;perc_rcl_2025;Valor_Corrente_2026;Valor_Constante_2026;perc_pib_2026;perc_rcl_2026
Receita Total;7.391.434;7.105.782;-;94,7%;7.878.777;7.297.005;-;94,9%;8.168.435;7.291.830;-;93,7%
Receitas Primárias (I);6.589.723;6.335.053;-;84,5%;7.030.650;6.511.504;-;84,6%;7.374.123;6.582.760;-;84,6%
Receitas Primárias Correntes;6.501.072;6.249.829;-;83,3%;6.938.383;6.426.050;-;83,5%;7.278.118;6.497.059;-;83,5%
Impostos, Taxas e Contribuições de Melhoria;2.606.439;2.505.709;-;33,4%;2.752.399;2.549.161;-;33,1%;2.910.662;2.598.301;-;33,4%
Transferências Correntes;3.475.206;3.340.902;-;44,5%;3.743.069;3.466.679;-;45,1%;3.899.073;3.480.640;-;44,7%
Demais Receitas Primárias Correntes;419.427;403.218;-;5,4%;442.915;410.210;-;5,3%;468.383;418.118;-;5,4%
Receitas Primárias de Capital;88.650;85.224;-;1,1%;92.267;85.454;-;1,1%;96.004;85.701;-;1,1%
Despesa Total;7.391.434;7.105.782;-;94,7%;7.878.777;7.297.005;-;94,9%;8.168.435;7.291.830;-;93,7%
Despesas Primárias (II);6.501.558;6.250.296;-;83,3%;6.998.109;6.481.366;-;84,3%;7.374.156;6.582.791;-;84,6%
Despesas Primárias Correntes;5.837.177;5.611.591;-;74,8%;6.227.906;5.768.035;-;75,0%;6.649.560;5.935.955;-;76,3%
Pessoal e Encargos Sociais;3.139.065;3.017.751;-;40,2%;3.367.907;3.119.219;-;40,5%;3.603.660;3.216.930;-;41,3%
Outras Despesas Correntes;2.698.113;2.593.840;-;34,6%;2.859.999;2.648.816;-;34,4%;3.045.899;2.719.025;-;34,9%
Despesas Primárias de Capital;505.239;485.713;-;6,5%;606.287;561.518;-;7,3%;555.763;496.121;-;6,4%
Pagamento de Restos a Pagar de Despesas Primárias;159.142;152.992;-;2,0%;163.916;151.813;-;2,0%;168.834;150.715;-;1,9%
Resultado Primário (SEM RPPS) – Acima da Linha (III) = (I-II);88.164;84.757;-;1,1%;32.541;30.138;-;0,4%;(34);(30);-;0,0%
Dívida Pública Consolidada (DC);2.658.905;2.556.148;-;34,1%;2.738.672;2.536.447;-;33,0%;2.779.752;2.481.440;-;31,9%
Dívida Consolidada Líquida (DCL);2.356.301;2.265.238;-;30,2%;2.426.990;2.247.780;-;29,2%;2.354.180;2.101.539;-;27,0%
Resultado Nominal (SEM RPPS) – Abaixo da Linha;(182.592);(175.535);-;-2,3%;(70.689);(65.469);-;-0,9%;72.810;64.996;-;0,8%
